Number;Level/Layer;Parameter;Forecast Valid;Description
001.1;planetary boundary layer;UGRD;analysis;U-Component of Wind [m/s]
001.2;planetary boundary layer;VGRD;analysis;V-Component of Wind [m/s]
002;planetary boundary layer;VRATE;analysis;Ventilation Rate [m2/s]
003;10 mb;HGT;analysis;Geopotential Height [gpm]
004;10 mb;TMP;analysis;Temperature [K]
005;10 mb;RH;analysis;Relative Humidity [%]
006.1;10 mb;UGRD;analysis;U-Component of Wind [m/s]
006.2;10 mb;VGRD;analysis;V-Component of Wind [m/s]
007;10 mb;ABSV;analysis;Absolute Vorticity [1/s]
008;10 mb;O3MR;analysis;Ozone Mixing Ratio [kg/kg]
009;20 mb;HGT;analysis;Geopotential Height [gpm]
010;20 mb;TMP;analysis;Temperature [K]
011.1;20 mb;UGRD;analysis;U-Component of Wind [m/s]
011.2;20 mb;VGRD;analysis;V-Component of Wind [m/s]
012;20 mb;ABSV;analysis;Absolute Vorticity [1/s]
013;20 mb;O3MR;analysis;Ozone Mixing Ratio [kg/kg]
014;30 mb;HGT;analysis;Geopotential Height [gpm]
015;30 mb;TMP;analysis;Temperature [K]
016;30 mb;RH;analysis;Relative Humidity [%]
017.1;30 mb;UGRD;analysis;U-Component of Wind [m/s]
017.2;30 mb;VGRD;analysis;V-Component of Wind [m/s]
018;30 mb;ABSV;analysis;Absolute Vorticity [1/s]
019;30 mb;O3MR;analysis;Ozone Mixing Ratio [kg/kg]
020;50 mb;HGT;analysis;Geopotential Height [gpm]
021;50 mb;TMP;analysis;Temperature [K]
022;50 mb;RH;analysis;Relative Humidity [%]
023.1;50 mb;UGRD;analysis;U-Component of Wind [m/s]
023.2;50 mb;VGRD;analysis;V-Component of Wind [m/s]
024;50 mb;ABSV;analysis;Absolute Vorticity [1/s]
025;50 mb;O3MR;analysis;Ozone Mixing Ratio [kg/kg]
026;70 mb;HGT;analysis;Geopotential Height [gpm]
027;70 mb;TMP;analysis;Temperature [K]
028;70 mb;RH;analysis;Relative Humidity [%]
029.1;70 mb;UGRD;analysis;U-Component of Wind [m/s]
029.2;70 mb;VGRD;analysis;V-Component of Wind [m/s]
030;70 mb;ABSV;analysis;Absolute Vorticity [1/s]
031;70 mb;O3MR;analysis;Ozone Mixing Ratio [kg/kg]
032;100 mb;HGT;analysis;Geopotential Height [gpm]
033;100 mb;TMP;analysis;Temperature [K]
034;100 mb;RH;analysis;Relative Humidity [%]
035;100 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
036.1;100 mb;UGRD;analysis;U-Component of Wind [m/s]
036.2;100 mb;VGRD;analysis;V-Component of Wind [m/s]
037;100 mb;ABSV;analysis;Absolute Vorticity [1/s]
038;100 mb;CLWMR;analysis;Cloud Mixing Ratio [kg/kg]
039;100 mb;O3MR;analysis;Ozone Mixing Ratio [kg/kg]
040;150 mb;HGT;analysis;Geopotential Height [gpm]
041;150 mb;TMP;analysis;Temperature [K]
042;150 mb;RH;analysis;Relative Humidity [%]
043;150 mb;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
044.1;150 mb;UGRD;analysis;U-Component of Wind [m/s]
044.2;150 mb;VGRD;analysis;V-Component of Wind [m/s]
